date,session,direction,outcome,pnl,bars_held,h4_up,h4_down,h4_bull_st,h4_bear_st,weekly_up,atr_regime,dist_high,dow,month,atr,s_range
2023-04-12 00:00:00+00:00,london,short,loss,-100.0,1,True,False,True,False,True,1.0473238297556697,0.3997827224617125,2,4,2.0647329976114164,6.2345000000000255
2023-04-12 00:00:00+00:00,ny,long,loss,-100.0,170,True,False,False,False,True,1.423839529850202,1.1211288810895816,2,4,3.389293239571603,7.36649999999986
2023-04-12 00:00:00+00:00,ny,short,loss,-100.0,19,True,False,False,False,True,1.423839529850202,1.1211288810895816,2,4,3.389293239571603,7.36649999999986
2023-04-13 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,True,False,True,0.6745098734256483,0.5364688272132587,3,4,1.7496192327428897,4.154999999999745
2023-04-13 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,True,False,True,0.6745098734256483,0.5364688272132587,3,4,1.7496192327428897,4.154999999999745
2023-04-13 00:00:00+00:00,london,long,loss,-100.0,1,True,False,False,False,True,0.7432277061095836,0.18878301881433146,3,4,1.9299644506993423,4.748499999999922
2023-04-13 00:00:00+00:00,london,short,loss,-100.0,1,True,False,False,False,True,0.7432277061095836,0.18878301881433146,3,4,1.9299644506993423,4.748499999999922
2023-04-13 00:00:00+00:00,ny,long,loss,-100.0,13,True,False,True,False,True,1.1884240889454187,0.4777131759184159,3,4,2.9789907581509465,10.015000000000327
2023-04-13 00:00:00+00:00,ny,short,loss,-100.0,3,True,False,True,False,True,1.1884240889454187,0.4777131759184159,3,4,2.9789907581509465,10.015000000000327
2023-04-14 00:00:00+00:00,asian,short,loss,-100.0,12,True,False,True,False,True,0.8706765381139503,0.17507316107169915,4,4,2.020454213910715,6.860000000000127
2023-04-14 00:00:00+00:00,london,short,loss,-100.0,1,True,False,False,True,True,1.04005678403134,0.4646561235748554,4,4,2.482888827772447,10.404999999999745
2023-04-14 00:00:00+00:00,ny,long,loss,-100.0,10,False,False,False,True,True,1.507883113773268,2.6557015620889706,4,4,4.131706533432509,11.809999999999945
2023-04-14 00:00:00+00:00,ny,short,loss,-100.0,11,False,False,False,True,True,1.507883113773268,2.6557015620889706,4,4,4.131706533432509,11.809999999999945
2023-04-17 00:00:00+00:00,asian,long,loss,-100.0,1,False,True,False,False,True,0.723682368272491,2.197974872092006,0,4,2.140491452219514,8.974499999999807
2023-04-17 00:00:00+00:00,asian,short,loss,-100.0,1,False,True,False,False,True,0.723682368272491,2.197974872092006,0,4,2.140491452219514,8.974499999999807
2023-04-17 00:00:00+00:00,london,short,loss,-100.0,1,False,True,True,False,True,0.7139270785272489,1.8808460972891101,0,4,2.126069593353737,5.8034999999999854
2023-04-17 00:00:00+00:00,ny,long,loss,-100.0,48,False,True,False,True,True,1.1180578385402409,2.9515474952135556,0,4,3.0782920953865105,10.694500000000062
2023-04-17 00:00:00+00:00,ny,short,loss,-100.0,21,False,True,False,True,True,1.1180578385402409,2.9515474952135556,0,4,3.0782920953865105,10.694500000000062
2023-04-18 00:00:00+00:00,asian,long,loss,-100.0,1,False,True,False,False,True,0.7693195343093581,2.4219359289699463,1,4,1.7939342864030494,5.477499999999964
2023-04-18 00:00:00+00:00,asian,short,loss,-100.0,1,False,True,False,False,True,0.7693195343093581,2.4219359289699463,1,4,1.7939342864030494,5.477499999999964
2023-04-18 00:00:00+00:00,london,long,loss,-100.0,1,False,True,True,False,True,0.9401523242753687,2.3167434644476654,1,4,2.1528374587222063,6.0900000000001455
2023-04-18 00:00:00+00:00,london,short,loss,-100.0,3,False,True,True,False,True,0.9401523242753687,2.3167434644476654,1,4,2.1528374587222063,6.0900000000001455
