date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2020-06-18,long,-100.00000000000158,loss,sl,13,3,2020,2020-06,1723.3435,3.231491604758225
2020-06-22,long,250.0,win,tp,8,0,2020,2020-06,1745.415,3.0732197759023006
2020-06-24,long,250.0,win,tp,7,2,2020,2020-06,1767.7060000000001,2.079848368055267
2020-06-24,long,-99.99999999999665,loss,sl,11,2,2020,2020-06,1774.2515,2.4360864615940407
2020-06-25,long,208.9106295062537,win,sl,3,3,2020,2020-06,1760.81,2.425971125450987
2020-06-25,long,-99.99999999999753,loss,sl,13,3,2020,2020-06,1760.5415,3.1234319755440856
2020-07-01,long,-99.99999999999856,loss,sl,11,2,2020,2020-07,1779.7235,2.291901998658237
2020-07-01,long,-100.00000000000146,loss,sl,11,2,2020,2020-07,1779.7235,2.3414089987540705
2020-07-02,long,-99.99999999999585,loss,sl,3,3,2020,2020-07,1767.9085,2.461747358429977
2020-07-02,long,-100.0000000000022,loss,sl,3,3,2020,2020-07,1767.9085,2.338408261399257
2020-07-06,long,250.0,win,tp,10,0,2020,2020-07,1774.1064999999999,1.6101874987362814
2020-07-07,long,-100.00000000000702,loss,sl,6,1,2020,2020-07,1781.765,1.4487601675988464
2020-07-08,long,-100.00000000000544,loss,sl,0,2,2020,2020-07,1793.0325,1.8108977890562
2020-07-09,long,-100.00000000000165,loss,sl,11,3,2020,2020-07,1805.905,2.398149544649374
2020-07-09,long,-99.9999999999972,loss,sl,11,3,2020,2020-07,1808.9315,2.314144250233377
2020-07-13,long,163.2715592992331,win,sl,15,0,2020,2020-07,1804.8400000000001,2.5114187236026253
2020-07-14,long,92.05110251647581,win,sl,19,1,2020,2020-07,1807.5714999999998,2.204828240367722
2020-07-15,long,-100.00000000000134,loss,sl,0,2,2020,2020-07,1807.5714999999998,1.7801925571604662
2020-07-16,long,-99.9999999999958,loss,sl,7,3,2020,2020-07,1806.0065000000002,1.5426877285490912
2020-07-16,long,-100.00000000000382,loss,sl,14,3,2020,2020-07,1806.0065000000002,1.8940673584385608
2020-07-28,long,203.49656632256412,win,sl,13,1,2020,2020-07,1931.97,7.267042926822786
2020-07-30,long,-100.00000000000182,loss,sl,12,3,2020,2020-07,1950.9834999999998,4.683208076952184
2020-08-03,long,-100.00000000000256,loss,sl,9,0,2020,2020-08,1972.3785,2.7240648520686808
2020-08-04,long,-99.99999999999966,loss,sl,9,1,2020,2020-08,1973.1964999999998,2.440546937277085
2020-08-05,long,-100.00000000000102,loss,sl,19,2,2020,2020-08,2041.33,4.593367298984911
2020-08-13,short,128.25804680389697,win,sl,6,3,2020,2020-08,1935.7265000000002,6.26329628816071
2020-08-18,long,115.2985436735205,win,sl,11,1,2020,2020-08,2004.5985,3.7679039748766168
2020-08-18,long,92.63192866958266,win,sl,12,1,2020,2020-08,2004.5985,3.7170536909568455
2020-08-20,short,-100.00000000000153,loss,sl,20,3,2020,2020-08,1949.275,5.831124505823165
2020-08-25,short,250.0,win,tp,5,1,2020,2020-08,1935.0185,2.6845446477894916
