date,direction,session,pnl,outcome,reason,hour,dow,atr,level,strategy
2021-03-10,short,sr_bounce,152.4734066212331,win,sl,4,2,1.8727262447707065,1714.3450000000003,S3_SR_Bounce
2021-03-11,short,sr_bounce,105.74202359058586,win,sl,8,3,1.9716344875736826,1739.9055,S3_SR_Bounce
2021-03-11,long,sr_bounce,100.33472435832903,win,sl,15,3,4.03713337942944,1719.3184999999999,S3_SR_Bounce
2021-03-15,long,sr_bounce,88.94495349978905,win,sl,5,0,2.012098906999147,1721.6995000000002,S3_SR_Bounce
2021-03-15,short,sr_bounce,-100.00000000000406,loss,sl,13,0,2.6426105069196018,1734.122,S3_SR_Bounce
2021-03-16,short,sr_bounce,104.42828101390336,win,sl,1,1,1.5647904857236925,1734.122,S3_SR_Bounce
2021-03-16,long,sr_bounce,-100.00000000000477,loss,sl,7,1,1.8313722364829608,1726.2930000000001,S3_SR_Bounce
2021-03-17,short,sr_bounce,-100.00000000000388,loss,sl,2,2,1.698189128639958,1734.122,S3_SR_Bounce
2021-03-17,long,sr_bounce,167.68858215819736,win,sl,14,2,2.7456973998006013,1724.1299999999999,S3_SR_Bounce
2021-03-18,long,sr_bounce,-100.00000000000075,loss,sl,12,3,3.2096405082593025,1726.2930000000001,S3_SR_Bounce
2021-03-22,short,sr_bounce,-99.99999999999652,loss,sl,2,0,2.2215963276472257,1738.0330000000001,S3_SR_Bounce
2021-03-22,long,sr_bounce,-100.00000000000394,loss,sl,7,0,2.358863425558091,1728.578,S3_SR_Bounce
2021-03-23,long,sr_bounce,-100.00000000000186,loss,sl,18,1,2.4858071753157667,1727.4255,S3_SR_Bounce
2021-03-25,short,sr_bounce,163.45317057108036,win,sl,3,3,1.5868516528582748,1739.2354999999998,S3_SR_Bounce
2021-03-31,short,sr_bounce,123.70695473559472,win,sl,17,2,3.116239018824499,1715.38,S3_SR_Bounce
2021-04-01,long,sr_bounce,103.30369995338722,win,sl,0,3,1.7605965518131586,1705.805,S3_SR_Bounce
2021-04-01,short,sr_bounce,118.97991231187987,win,sl,5,3,1.737011902851338,1715.38,S3_SR_Bounce
2021-04-05,long,sr_bounce,196.79791822948934,win,sl,6,0,1.2409315174605022,1721.3464999999999,S3_SR_Bounce
2021-04-08,long,sr_bounce,107.67128762429437,win,sl,1,3,1.4241089339929864,1733.2385,S3_SR_Bounce
2021-04-12,short,sr_bounce,90.57108576008139,win,sl,1,0,1.4306383294019045,1743.2535000000003,S3_SR_Bounce
2021-04-12,long,sr_bounce,95.98557310988144,win,sl,14,0,2.4248895854086734,1731.3,S3_SR_Bounce
2021-04-13,short,sr_bounce,250.0,win,tp,2,1,1.4893037760273586,1736.4215000000002,S3_SR_Bounce
2021-04-14,long,sr_bounce,97.38155484460958,win,sl,14,2,2.688133792180008,1732.6535,S3_SR_Bounce
2021-04-14,short,sr_bounce,-100.000000000006,loss,sl,22,2,1.3171751234198503,1736.4215000000002,S3_SR_Bounce
2021-04-15,short,sr_bounce,-99.99999999999696,loss,sl,1,3,1.6920618631802942,1736.4215000000002,S3_SR_Bounce
